CoralNet ID,Count,CoralNet Name,Mermaid Name
115,26350,Favites,Favites
9278,26277,Chthamalus sp.,
3803,25842,Healthy Tissue,
239,25794,Hard Coral (encrusting),Hard coral
625,25621,Sediment Covered Limestone,
3082,25504,Acropora cervicornis dead,
66,25491,Leptastrea,Leptastrea
1342,24766,CRED-Octocoral,Octocorallia
1895,24199,ARMS-CREP-Tunicate Colonial,Tunicate
103,24101,All other,Other
2826,24034,Thalassia testudinum,Thalassia testudinum
1368,23764,Orbicella annularis,Orbicella annularis
2237,23622,Biofilm,Other
1540,23176,Mytilus edulis,
372,22865,Substrate: Consolidated (hard) Boulders,
633,22356,Heliopora,Heliopora
7005,22229,Halophilia,Halophila
452,21847,Microdictyon,Microdictyon
299,21724,Macroalgae: Large canopy-forming : brown,Macroalgae
111,21699,Siderastrea siderea,Siderastrea siderea
1742,21548,Millepora alcicornis,Millepora alcicornis
107,21241,Transect hardware,Other
2051,21138,Sinularia,Sinularia
2845,21110,Macroalgae:Encrusting:Red:Calcareous:Crustose,Macroalgae
1827,21061,TAPE,Other
3123,20936,Others,Other
1295,20915,CRED-Montipora spp_foliose,Montipora
1270,20725,CRED-Acropora spp_tabulate,Acropora
3008,20515,Porites (LOF),
242,20237,Hard Coral (branching),Hard coral
1327,19852,CRED-Blue-green macroalga,Macroalgae
185,19838,Stylophora,Stylophora
988,19599,Barnacles,Other invertebrates
440,19275,Montipora patula,Montipora patula
116,19247,Platygyra,Platygyra
1383,19072,Pseudoplexaura spp.,Pseudoplexaura
60,18932,Astreopora,Astreopora
522,18927,Red Turf,Macroalgae
7529,18888,Agarum/ neoagarum,
1772,18847,Colpophyllia natans,Colpophyllia natans
429,18647,Sargassum,Sargassum
3484,18561,Detritus,Other
642,18433,Algae (filamentous),Macroalgae
1001,18087,"Bryozoan, branching unidentified",
1768,17865,Acropora cervicornis,Acropora cervicornis
141,17822,Crustose coralline algae,Crustose coralline algae
760,17701,Galaxea,Galaxea
3299,17607,Rock Turf Algae,Turf algae
3534,17527,Turf algal sediment matrix,
1913,17450,Turf  algae,Turf algae
1609,17007,Dipsastraea,Dipsastraea
9145,16971,encrusting undefined shape,
9017,16646,coccoid cyanobacteria,
187,16644,Acropora (tabulate),Acropora
1644,16476,Gravel,Other
6741,16189,Debris Shell,
1741,16133,"Crustose, turf, bare",
370,16028,Substrate: Consolidated (hard) Rock,
7049,15897,Chthamalus bisinuatus,
5747,15841,dead Pocillopora damicornis,
2454,15768,Turf overgrowing recently dead coral,
1848,15393,PVC,Other
1374,15365,Pseudodiploria strigosa,Pseudodiploria strigosa
324,15338,Macroalgae: Encrusting: brown,Macroalgae
3603,15198,Quadrat,Other
1264,15165,CRED-Encrusting hard coral,Acropora
1325,14800,CRED-Red macroalgae,Macroalgae
6867,14548,Halimeda copiosa,Halimeda copiosa
4571,14532,Mytilus spp. (Small),
137,14393,Xenia,Xenia
535,14380,Black crust,Macroalgae
1308,14265,CRED-Porites spp_foliose,Porites
4081,14217,Rhodophyta,
5999,14175,Pebble,
4491,14094,Montipora grisea,
2562,14014,Jania,Jania
1807,13901,Silt/Clay,Silt
448,13878,Pocillopora damicornis,Pocillopora damicornis
296,13817,Macroalgae: Sheet-like / membraneous: red,
4158,13784,Sand/Silt,Sand
4817,13631,Sick CCA,Crustose coralline algae
133,13462,Zoanthid,Zoanthid
5901,13375,Porites Healthy,
4709,13276,Favia,Favia
747,13230,tag/frame/zspar etc,Other
7165,13174,Epizoanthus sp.,
3283,13139,Boulder,Other
815,13132,Mud,Silt
7102,13053,Flat leaf red algae,
4115,13009,Substrate: Unconsolidated (soft),Bare substrate
1637,12941,Framer,Other
9019,12721,small filamentous cyanobacteria,
63,12691,Fungia,Fungia
5832,12612,ARMS-Bound sediment,
7723,12601,Ecklonia radiata,
5340,12435,Dead staghorn Acropora,
6200,12296,turf,
168,12176,Acroporidae (branching),Acroporidae
2386,11997,Acropora muricata,Acropora muricata
1591,11947,Amphiroa sp.,Amphiroa
6149,11855,Cover - Abundance of Algae Turf,
1271,11705,CRED-Astreopora spp,Astreopora
2843,11676,Rubbles,Rubble
3445,11374,Aulacomya atra,
4757,11093,Blue Ocean,
6582,10927,Sand and Gravel - Cyanobacteria,
4286,10786,EMPTY SPACE,
1561,10665,Turf Algae (macroalgae),Turf algae
2452,10616,Grazed or thin turf,
7520,10606,Montipora (brown) encrusting,
238,10597,Hard Coral (foliose),Hard coral
3714,10528,Not colonizable,
423,10403,Caulerpa,Caulerpa
554,10395,Hydnophora,Hydnophora
3796,10387,Gorgonia ventalina,Gorgonia ventalina
6909,10357,Branching Coral Rubble,
323,10285,Macroalgae: Encrusting: green,Macroalgae
602,10270,Acropora (digitate),Acropora
2451,10211,Pseudopterogorgia,Pseudopterogorgia
1852,10142,Porifera,Porifera
104,10009,Octocorallia,Octocorallia
1338,9986,CRED-Upright macroalgae,Macroalgae
3085,9935,Nutrient Indicator Algae,Macroalgae
3328,9891,Dead coral with turf algae,
1905,9858,ARMS-CREP-Sediment,
6583,9857,Turf+ Cyanobacteria,
7647,9849,NotCoral,
4762,9827,Ascidians,
1283,9678,CRED-Goniastrea spp,Goniastrea
189,9668,Seriatopora,Seriatopora
3185,9624,Sand_Soft,
7318,9567,Live Coral - Porites rus,
1026,9407,Metridium senile,
1858,9304,Thalassia,
6568,9298,Sand and Gravel - Bare,
1891,9246,ARMS-CREP-Foraminifera,Foraminifera
1743,9241,Millepora complanata,Millepora complanata
1397,9209,Palythoa,Palythoa
4203,9207,Out-planted colony,
592,9184,Branching Gorgonian,Gorgonian
61,9115,Cyphastrea,Cyphastrea
9226,9102,Tape/Quadrat/Shadow,
2565,9087,Seagrass (Enhalus acoroides),
2545,9064,Wand,Other
1453,9042,Other Algae,Macroalgae
130,9036,Goniopora,Goniopora
1341,9013,CRED-CCA growing on rubble,Crustose coralline algae
1897,8774,ARMS-CREP-Bivalve,Bivalvia
2235,8728,Algal Turf,Turf algae
450,8724,Pocillopora meandrina,Pocillopora meandrina
8825,8687,Porites Pale,
62,8614,Favia (Indo-Pacific),Favia
4128,8590,Brown Macroalgae,
199,8565,Turbinaria (coral),Turbinaria-coral
7785,8537,Cystoseira barbata,
2053,8503,Pachyclavularia,Briareum
371,8455,Substrate: Consolidated (hard) Cobbles,
7057,8437,Mytilaster solisianus,
4319,8394,Sargassum hystrix,Sargassum hystrix
5825,8378,On Quadrat,
1278,8269,CRED-Favia spp,Favia
164,8223,Diploastrea,Diploastrea
106,8074,Sand and sediment,Sand
1433,8039,Epilithic algal matirx smotheting rubble,
2479,8027,"Montipora capitata, recently dead",Dead coral
8755,7956,Healthy Coral,
4150,7934,Cobbles,
9229,7933,Organic matter rubble,
474,7931,Siderastrea,Siderastrea
6173,7916,Zoanthus sociatus_,
322,7907,Macroalgae: Encrusting: red,Macroalgae
2490,7895,Bleached Pocillopora,Bleached coral
1390,7820,Gorgonia spp.,Gorgonia
8816,7699,Isopora Healthy,
4450,7688,Long turf sediment free,
3302,7612,Hard Coral_Encrusting,Hard coral
1841,7569,Bryozoan_encrusting,
2453,7501,Thick turf algae,
435,7365,Turbinaria (algae),Turbinaria-algae
1344,7231,CRED-Fine sediment,Bare substrate
1487,7216,Ciona intestinalis,
1335,7188,CRED-Padina spp,Padina
1352,7174,CRED-Wand,Other
69,7161,Montastraea,Montastraea
3807,7118,Live,
4770,7110,Dark Ocean,
2040,7099,Rhytisma,
8801,7099,Rocky substrate,
1370,7069,Orbicella franksi,Orbicella franksi
5848,7038,ARMS-Red algae,
9027,7023,tapered diatom,
623,7014,Leptoria,Leptoria
1704,6984,Loose Substrate: Sediment,
75,6981,Psammocora,Psammocora
1976,6978,Millepora spp.,Millepora
1598,6952,Calcifying Calcareous Crustose Algae: Sub,
201,6930,Merulina,Merulina
1345,6924,CRED-Hard substrate,Bare substrate
68,6802,Lobophyllia,Lobophyllia
2132,6789,Sargassum filipendula,
523,6788,Shell/ Shell Hash,Other
2233,6785,Hard Coral Coverage,
9024,6724,small pointed diatom,
2779,6717,Too Dark,
1656,6715,Agarum clathratum (canopy),
5795,6631,Porites species (mounding),
2630,6618,Thin Turf Algae,
4201,6582,Rhipilia spp.,Rhipilia
6312,6571,Isopora crateriformis,
3297,6558,Hard Coral Massive,Hard coral
2114,6483,Shell hash/Gravel,
353,6453,Molluscs: Gastropods,Other invertebrates
175,6433,Other hard coral,Hard coral
5868,6432,Lophocladia sp.,
174,6432,Favidae-Mussidae massive/meandroid,
3808,6381,Dead,
629,6353,Non-Acropora encrusting,Hard coral
8858,6319,no_cell,
83,6300,CCA/Bare Space,
71,6274,Pachyseris,Pachyseris
8347,6233,CCA_knobby,
2827,6232,Syringodium filiforme,
266,6115,Hydroids,Hydroid
8855,6048,Cladiella sp. Healthy,
142,6008,Recent Dead Coral,Dead coral
7807,6002,Champia chathamensis,
369,5954,Substrate: Unconsolidated : pebble/gravel,Bare substrate
2185,5945,Montipora capitata bleached,Bleached coral
2230,5924,Turf on rubble,Turf algae
1854,5912,Tunicate,Tunicate
3563,5904,Articulated coralline algae,Crustose coralline algae
2097,5881,CREP-T1 Crustose coralline algae,
8851,5874,Xenia cf crassa Healthy,
3099,5829,Hard Coral (bushy),Hard coral
3453,5776,Obscured,Obscured
533,5669,No Data,
128,5605,Sarcophyton,Sarcophyton
1332,5570,CRED-Lobophora spp,Lobophora
1317,5544,CRED-Corallimorph,Coralimorph
8365,5495,Condition_Fully Bleached,
3384,5330,Fucus sp.,
3540,5315,Calcium Carbonate,Other
5847,5297,ARMS-Green algae,
1638,5268,sediment (thick),
1300,5254,CRED-Pavona spp_encrusting,Pavona
540,5231,Chondria species,
1403,5231,Calcifying calcareous crustose algae: DHC,Crustose coralline algae
3395,5227,Arbacia dufresnii,
4936,5216,Tape_TWS,Other
4318,5205,Halimeda opuntia,
2042,5169,Macroalgae-Seaweed,
1298,5162,CRED-Pachyseris spp,Pachyseris
6571,5125,Upright Dead Coral - Halimeda,
2938,5086,Macroalgae:Erectcoarseb:brown:carpoglosum,
1853,5032,Bryozoan,Bryozoan
8859,5001,chloroplast,
1323,4991,CRED-Green macroalgae,Macroalgae
446,4983,Porites evermanni,Porites evermanni
2616,4968,Astrea,Astrea
6845,4964,Brown filamentous algae,
1293,4946,CRED-Montipora spp_branching,Montipora
1475,4933,Botryllus schlosseri,
9614,4930,Uncolonizable,
597,4917,Red ALgae,Macroalgae
342,4906,Echinoderms: sea urchin,Sea urchin
434,4880,Gracilaria salicornia,Gracilaria salicornia
628,4857,Non-Acropora branching,Hard coral
3677,4853,Lithophyllum spp. Encrusting,
4123,4835,Coral transplant structure,
9012,4795,non-algal particle,
9230,4777,Encrusting Coralline Algae,
793,4764,Turf growing on hard substrate,
6576,4742,Coral Rubble - Turf Algae,
85,4728,Off,Other
361,4700,Worms: Polychaetes: Tube worms,Other invertebrates
8449,4696,Sand and dead coral,
1413,4673,Porites (branching),Porites
8743,4647,Macro algae,
2246,4646,Seagrasses: Strap-like leaves: P. australis,
2846,4621,Macroalge:Filamentous:Red:Polysiphonia,
3542,4618,Sedimento,
631,4594,Non-Acropora massive,Hard coral
2138,4560,Scalebar,
1799,4474,Hydrozoa,Hydrozoa
6144,4469,Cover - Abundance of Bare,
5171,4442,Unknown-19,
8857,4430,yes_cell,
600,4426,Acropora (arborescent),Acropora
2515,4408,Transect Tape,Other
1145,4391,"Brown algae, unidentified",Macroalgae
170,4382,Pocilloporidae,Pocilloporidae
2533,4353,brown encrusting algae,
134,4345,Corallimorpharia,Corallimorpharia
1384,4307,Eunicea spp.,Eunicea
1324,4273,CRED-Brown macroalgae,Macroalgae
9605,4272,Porites thick healthy,
6238,4258,protopalythoa variabilis,
4291,4253,Long sediment-laden algal turf,
1388,4202,Antillogorgia spp.,
401,4190,Dictyota spp,Dictyota
4600,4181,Pocillopora (pale),
3382,4172,Halimeda discoidea,
1279,4169,CRED-Favites spp,Favites
7732,4122,Shells,
3298,4091,Hard Coral branching,Hard coral
456,4073,Hydroid,Hydroid
3522,4060,Ascidian (colonial),Ascidian
1788,4057,Porites porites,Porites porites
2473,4020,Red fleshy algae,Macroalgae
1736,4018,Ircinia sp.,Ircinia
982,4015,Other invertebrate,Other invertebrates
524,3992,Rock Rubble,Rubble
9661,3972,Red BCM,
194,3965,Mycedium,Mycedium
2030,3898,Ramicrusta spp.,
2234,3888,Sand patches,
1064,3844,"Red algae, filamentous",
8624,3830,Crusty algae,
5878,3792,Acropora Branching Paling,
1389,3788,Pterogorgia,Pterogorgia
2023,3787,Neogoniolithon spp.,
687,3784,Unidentified algae,
4147,3778,Bed rock,
8268,3777,Thalassia+ sediement,
3485,3760,Undaria pinnatifida,
67,3753,Leptoseris,Leptoseris
1287,3744,CRED-Leptastrea spp,Leptastrea
460,3730,Fish,Other
169,3729,Acroporidae (plate/encrusting),
5905,3725,Alaria marginata,
1176,3707,Porites furcata,Porites furcata
1012,3706,Aglaophenia spp.,
4916,3703,Bleached Orbicella faveolata,
7371,3701,Rock - Turf Algae,
4457,3698,Bare space,
7022,3685,Sediment-covered branching coral rubble,
6098,3672,Equipment,
6145,3659,Cover - Seagrass Halodule uninervis,
7755,3656,Fleshy macroalgae,
4284,3650,Cement,
4820,3649,Porites superfusa,Porites superfusa
10142,3649,Fucus sp. Adult,
7810,3634,Cystophora retroflexa,
4574,3632,ARMS-Barnacle,Other invertebrates
1183,3627,Meandrina meandrites,Meandrina meandrites
1996,3611,Fragments of dead coral,
2240,3605,Fleshy_Algae,
6146,3585,Cover - Seagrass Enhalus acoroides,
6916,3582,Erythropodium,Erythropodium
9021,3579,large pointed diatom,
7515,3548,Red cyanobacteria biofilm,
1859,3544,Syringodium,Syringodium
3649,3538,Salmacina_spp/Filograna implexa,
4818,3537,Black Fungus Disease (BFD),Other
1187,3500,Diploria labyrinthiformis,Diploria labyrinthiformis
2238,3488,Brown fleshy algae,Macroalgae
9574,3457,Low Tide Partial Mortality,
4777,3450,Pebble / gravel: Biologenic: Coral rubble,
1350,3426,CRED-Mobile fauna,Other invertebrates
2050,3423,Lobophytum,Lobophytum
2164,3381,Blurry,
227,3374,Ascidian,Ascidian
627,3363,Acropora (submassive),Acropora
1885,3353,ARMS-CREP-Coral,Hard coral
7736,3338,Carpophyllum maschalocarpum,
10147,3317,Naked_Beton,
1409,3314,Pocillopora species,
1767,3294,Gorgonian,Gorgonian
4774,3289,Cnidaria: True anemones,Anemone
572,3260,Costaria costata,
3615,3260,Sponge: Encrusting,
2232,3256,Other Invertebrates,Other invertebrates
8409,3237,CCA_Dead,
1049,3237,Rubble/debris/shell hash,
720,3219,Fucus distichus,
3034,3213,Biotic Matrix on Rubble,
3874,3205,Pink CCA,
1263,3166,CRED-Massive hard coral,Hard coral
7763,3161,bull kelp blade,
4082,3156,Red algae.,
2026,3143,Galaxaura rugosa,
404,3143,Algae matrix,
6042,3133,Montastrea cavernosa,Montastraea cavernosa
1290,3117,CRED-Leptoria spp,Leptoria
1898,3110,ARMS-CREP-Bivalve-empty,
425,3057,Cladophora sp.,Cladophora
442,3045,Pavona varians,Pavona varians
2442,3039,Tile,
2134,3012,Unknown Invertebrate,
2472,3008,Green fleshy algae,Macroalgae
1310,2953,CRED-Stylophora spp,Stylophora
1126,2948,Mobile fauna,
3458,2947,Hard Coral Digitate,Hard coral
1319,2945,CRED-Sponge,Sponge
7059,2931,Tetraclita stalactifera,
1883,2926,ARMS-CREP-Red encrusting macroalgae,Macroalgae
167,2922,Acroporidae (table/corymbose/digitate),
3591,2913,Unknown macroalgae,Macroalgae
7147,2888,Lithophyllum incrustans,
7043,2876,Zostera spp.,
236,2875,Hard Coral (submassive),Hard coral
3871,2871,Red CCA,
343,2850,Echinoderms: sea urchin: regular urchins,Sea urchin
5034,2844,Echinopora_encrusting,
8838,2841,Acropora blue morphology healthy,
931,2792,Macroalgae: Laminate: brown: Zonaria sp.,
192,2787,Echinophyllia,Echinophyllia
179,2767,Other sessile invertebrates,Other invertebrates
3482,2762,Halodule wrightii,Halodule wrightii
1286,2759,CRED-Isopora spp,Isopora
146,2743,Cliona,
305,2714,Macroalgae: Globose / saccate,Macroalgae
1351,2713,CRED-Tape,Other
1877,2712,ARMS-CREP-Green encrusting macroalgae,Macroalgae
6788,2710,Bleached Agaricia,
7789,2709,Mytilater lineatus,
4914,2706,Bleached Orbicella annularis,
1766,2694,Agaricia tenuifolia,Agaricia tenuifolia
6836,2678,Chondria dasyphylla,
5842,2671,ARMS-CREP-Tunicate Solitary,
200,2656,Symphyllia,Symphyllia
5818,2656,Coral rubble,Rubble
811,2646,Halophila ovalis,
1869,2644,Asparagopsis taxiformis,Asparagopsis taxiformis
64,2639,Gardineroseris,Gardineroseris
8722,2622,Pocillopora Healthy,
1299,2588,CRED-Pavona spp_massive,Pavona
6112,2586,Phyllospadix sp.,
2474,2584,,
447,2579,Porites monticulosa,Porites monticulosa
684,2573,black sponge,
519,2557,Unidentified Brown,
9601,2550,Porites branching healthy,
8371,2548,Condition_Full Bleach & Partial Mortality,
3490,2547,Boring Bivalves,
5502,2545,White encrusting bryozoan (generic),
58,2521,Acanthastrea,Acanthastrea
9011,2519,rubber grip tape,
5836,2516,ARMS-Barnacle-empty,
1329,2490,CRED-Dictyopteris/Dictyota spp,Dictyotaceae
4945,2486,Unknown-2,
7175,2479,Spirobranchus triqueter,
5191,2478,Red_algae_corticated_macrophyte,
1815,2476,Ceramium sp.,
1302,2462,CRED-Platygyra spp,Platygyra
7455,2459,Tile_label,
8814,2453,Isopora Pale,
5964,2440,austrominius modestus,
4406,2429,Actinotrichia fragilis,
3303,2426,Rubble_,
4451,2414,Turf with sediment,
1346,2413,CRED-Rubble substrate,Rubble
610,2391,Euphyllia,Euphyllia
2347,2390,Pocillopora (branching),
1312,2388,CRED-Turbinaria spp,Turbinaria-coral
9144,2387,small tapered diatom,
3811,2385,Cosmasterias lurida,
4525,2377,Macrocystis pyrifera,
1716,2374,Rhodymenia Sp.,
7492,2373,Green_algal_stain-CCA,
4258,2369,"Algae, crustose non-calcareous",
1894,2366,ARMS-CREP-Soft Worm Tube,Other invertebrates
1186,2334,Diploria stigosa,
3385,2334,Kelp,Phaeophyceae
4302,2328,Damselfish turf + sediments,
7581,2327,Parasmittina alba,
1355,2320,CRED-Asparagopsis spp,Asparagopsis
6626,2319,Contamination,
3538,2307,CCA white to greenish,
1381,2306,Erythropodium caribaeorum,Erythropodium caribaeorum
2609,2306,Zoanthids,Zoanthid
1579,2301,Pavona decussata,Pavona decussata
1627,2289,Strongylocentrotus droebachiensis,
1289,2283,CRED-Lobophyllia spp,Lobophyllia
1281,2282,CRED-Galaxea spp,Galaxea
407,2275,Aplysina fistularis,
4072,2272,Brown algae,
171,2270,Poritidae (massive),Poritidae
143,2268,Cyanobacteria films,Cyanobacteria
1499,2265,Diplosoma listerianum,
1292,2251,CRED-Millepora spp,Millepora
300,2237,Macroalgae: Large canopy-forming : Ecklonia,Ecklonia
1043,2236,Unidentified Octocoral,
3704,2224,Sedentary Annelida Polychaeta,
1829,2224,Bivalve,Bivalvia
3559,2224,Red Fine Filamentous Algae,
1781,2218,Madracis decactis,Madracis decactis
9753,2218,Bottom with some DOM,
5729,2197,Acropora abrotanoides,
595,2196,Encrusting Hard Coral,
7019,2193,Turf Algae-covered Acropora,
140,2162,Calcareous algae,Macroalgae
2305,2162,Isopora Sub-Massive,
6573,2159,Upright Dead Coral - CCA,
416,2152,Erect gorgonians,
1273,2150,CRED-Cyphastrea spp,Cyphastrea
6206,2140,Bluegreen algae,Macroalgae
9687,2125,Sandy Bottom,
1430,2124,Non hermatypic: Millepora (Fire coral),
3930,2111,Tydemania spp.,Tydemania
1723,2064,Patella sp.,
3346,2055,silt,Silt
1601,2040,"Sponges: Branching, Rope Forms",Sponge
180,2033,Mobile invertebrates	1,Other invertebrates
7787,2033,Mytilus galloprovincialis,
7576,2015,Botrylloides niger,
7855,2013,Hormosiraceae banksii,
7328,2002,Mud - Bare,
216,2000,Bleached Porites,Bleached coral
2217,1998,Porites lobata bleached,Bleached coral
1285,1998,CRED-Hydnophora spp,Hydnophora
797,1987,Sargassum muticum,
8199,1983,Open Space,
4719,1970,Verrucaria,Unknown
1515,1954,Halisarca spp.,
5306,1950,Holes,
3443,1943,Gelidium spp,
7367,1942,Artificial - Turf Algae,
2801,1930,Padina pavonica,
7324,1911,Pavement - Fleshy Algae,
3561,1889,Green Fine Filamentous Algae,
1662,1873,Corallina officinalis (substratum),Corallina officinalis
2072,1867,Bleached Montipora capitata,
2163,1863,Corals: Stony corals: Staghorn,
8363,1855,Condition_Paling,
978,1851,Sabellidae,"Worms, sabellid"
3521,1843,Ascidian (solitary),Ascidian
3208,1840,Anemone,Anemone
5500,1839,Orange encrusting bryozoan (generic),
3698,1838,Reteporella spp.,
6087,1835,Calcareous Turf,
10582,1834,Water Column,
427,1820,Acanthophora spicifera,Acanthophora spicifera
1322,1817,CRED-Zoanthid,Zoanthid
3196,1816,Green algae - filamentous,
1330,1814,CRED-Dictyosphaeria spp,Dictyosphaeria
9684,1809,Staghorn Alive,
9425,1806,Amathia wilsoni,
508,1788,Caulerpa racemosa,Caulerpa racemosa
7587,1787,Amphipod sp,
9271,1773,Live Stony Coral,
3810,1767,Tripalea clavaria,
7101,1759,Flat branching red algae,
5961,1746,placa vazia,
1008,1742,Botrylloides violaceus,
2872,1733,Macroalgae: Laminate: red: peysonnelia,
1378,1726,Stephanocoenia intersepta,Stephanocoenia intersepta
643,1711,Algae (foliose),Macroalgae
2550,1702,Red encrusting algae,
4272,1701,background,
594,1699,Physogyra,Physogyra
648,1697,Crustose Algae,
1769,1695,Acropora palmata,Acropora palmata
1296,1692,CRED-Montastraea spp,
1444,1690,Calcifying algae: Other,Macroalgae
3620,1687,Tunicate (colonial),Tunicate
3633,1674,Abiotic,
2464,1673,"Porites compressa, recently dead",Dead coral
6160,1673,Unreadable,
2087,1667,Dead Porites massive,
1191,1664,Rope sponge,Sponge
1549,1662,Montipora informis,
3857,1660,Hard Bottom,
2074,1652,Bleached Pocillopora damacornis,
1458,1649,CCA: On dead coral,Crustose coralline algae
